M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1473.18mb, Malloc-M=468mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  StaticCheck: StaticCheckProcess : M=1473.18mb, Malloc-M=459mb, Available-M=12713mb, T=0s CPU=0.01s W=(2025-10-20 12:58:27)
STATS:: before populate SSF data: M=1473.18mb, Malloc-M=459mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  populate SSF data: M=1473.18mb, Malloc-M=459mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before DumpGateCountStats : M=1473.18mb, Malloc-M=459mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  DumpGateCountStats : M=1473.18mb, Malloc-M=459mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before ModuleDesignPropagation : M=1473.18mb, Malloc-M=468mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  ModuleDesignPropagation : M=1473.18mb, Malloc-M=468mb, Available-M=12713mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before sim build substep: M=1473.32mb, Malloc-M=468mb, Available-M=12714mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  sim build substep: M=1481.44mb, Malloc-M=476mb, Available-M=12705mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before sim run substep: M=1481.44mb, Malloc-M=476mb, Available-M=12705mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  sim run substep: M=1485.41mb, Malloc-M=480mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before sim_save_reset : M=1485.47mb, Malloc-M=480mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  sim_save_reset : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0.01s W=(2025-10-20 12:58:27)
STATS:: before Check: check_fv : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   before Check: BuildFormal : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: Init : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: Init : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: ResetSetup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: ResetSetup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: BotEotInstr : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: BotEotInstr : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: VPSetup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: VPSetup : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: VPReset : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: VPReset : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: InitApp : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   after  Check: InitApp : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   |   before Check: FormalModel : M=1495.15mb, Malloc-M=468mb, Available-M=12694mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
